Consecutive Difference Distribution Test
========================================
Total trials: 9999 (differences between 10000 numbers)

Distribution (bucket: count):
Bucket [0-1): 195
Bucket [1-2): 176
Bucket [2-3): 197
Bucket [3-4): 221
Bucket [4-5): 201
Bucket [5-6): 188
Bucket [6-7): 154
Bucket [7-8): 194
Bucket [8-9): 190
Bucket [9-10): 186
Bucket [10-11): 189
Bucket [11-12): 201
Bucket [12-13): 168
Bucket [13-14): 182
Bucket [14-15): 181
Bucket [15-16): 148
Bucket [16-17): 155
Bucket [17-18): 171
Bucket [18-19): 154
Bucket [19-20): 154
Bucket [20-21): 145
Bucket [21-22): 154
Bucket [22-23): 180
Bucket [23-24): 153
Bucket [24-25): 151
Bucket [25-26): 170
Bucket [26-27): 150
Bucket [27-28): 150
Bucket [28-29): 137
Bucket [29-30): 147
Bucket [30-31): 136
Bucket [31-32): 129
Bucket [32-33): 134
Bucket [33-34): 130
Bucket [34-35): 111
Bucket [35-36): 133
Bucket [36-37): 138
Bucket [37-38): 142
Bucket [38-39): 121
Bucket [39-40): 132
Bucket [40-41): 137
Bucket [41-42): 130
Bucket [42-43): 104
Bucket [43-44): 113
Bucket [44-45): 134
Bucket [45-46): 97
Bucket [46-47): 83
Bucket [47-48): 94
Bucket [48-49): 105
Bucket [49-50): 108
Bucket [50-51): 97
Bucket [51-52): 96
Bucket [52-53): 85
Bucket [53-54): 94
Bucket [54-55): 79
Bucket [55-56): 74
Bucket [56-57): 88
Bucket [57-58): 81
Bucket [58-59): 101
Bucket [59-60): 77
Bucket [60-61): 83
Bucket [61-62): 72
Bucket [62-63): 77
Bucket [63-64): 67
Bucket [64-65): 69
Bucket [65-66): 71
Bucket [66-67): 64
Bucket [67-68): 75
Bucket [68-69): 56
Bucket [69-70): 59
Bucket [70-71): 68
Bucket [71-72): 56
Bucket [72-73): 49
Bucket [73-74): 49
Bucket [74-75): 49
Bucket [75-76): 34
Bucket [76-77): 43
Bucket [77-78): 46
Bucket [78-79): 45
Bucket [79-80): 60
Bucket [80-81): 36
Bucket [81-82): 41
Bucket [82-83): 35
Bucket [83-84): 37
Bucket [84-85): 21
Bucket [85-86): 25
Bucket [86-87): 24
Bucket [87-88): 26
Bucket [88-89): 28
Bucket [89-90): 21
Bucket [90-91): 16
Bucket [91-92): 15
Bucket [92-93): 15
Bucket [93-94): 12
Bucket [94-95): 11
Bucket [95-96): 7
Bucket [96-97): 5
Bucket [97-98): 5
Bucket [98-99): 1
Bucket [99-100): 1

Statistics:
Total: 9999
Expected per bucket: 99
Min count: 1
Max count: 221
Range: 220
