Consecutive Difference Distribution Test (Mersenne Twister)
============================================================
Total trials: 9999 (differences between 10000 numbers)

Distribution (bucket: count):
Bucket [0-1): 188
Bucket [1-2): 211
Bucket [2-3): 191
Bucket [3-4): 207
Bucket [4-5): 219
Bucket [5-6): 212
Bucket [6-7): 185
Bucket [7-8): 168
Bucket [8-9): 166
Bucket [9-10): 198
Bucket [10-11): 181
Bucket [11-12): 161
Bucket [12-13): 169
Bucket [13-14): 169
Bucket [14-15): 171
Bucket [15-16): 170
Bucket [16-17): 160
Bucket [17-18): 181
Bucket [18-19): 180
Bucket [19-20): 172
Bucket [20-21): 155
Bucket [21-22): 142
Bucket [22-23): 140
Bucket [23-24): 145
Bucket [24-25): 132
Bucket [25-26): 146
Bucket [26-27): 162
Bucket [27-28): 138
Bucket [28-29): 159
Bucket [29-30): 139
Bucket [30-31): 134
Bucket [31-32): 140
Bucket [32-33): 134
Bucket [33-34): 147
Bucket [34-35): 128
Bucket [35-36): 111
Bucket [36-37): 137
Bucket [37-38): 137
Bucket [38-39): 136
Bucket [39-40): 105
Bucket [40-41): 115
Bucket [41-42): 123
Bucket [42-43): 117
Bucket [43-44): 120
Bucket [44-45): 118
Bucket [45-46): 106
Bucket [46-47): 90
Bucket [47-48): 103
Bucket [48-49): 83
Bucket [49-50): 82
Bucket [50-51): 105
Bucket [51-52): 94
Bucket [52-53): 113
Bucket [53-54): 102
Bucket [54-55): 82
Bucket [55-56): 83
Bucket [56-57): 77
Bucket [57-58): 96
Bucket [58-59): 74
Bucket [59-60): 80
Bucket [60-61): 81
Bucket [61-62): 85
Bucket [62-63): 89
Bucket [63-64): 69
Bucket [64-65): 70
Bucket [65-66): 68
Bucket [66-67): 83
Bucket [67-68): 63
Bucket [68-69): 52
Bucket [69-70): 57
Bucket [70-71): 65
Bucket [71-72): 64
Bucket [72-73): 57
Bucket [73-74): 66
Bucket [74-75): 42
Bucket [75-76): 42
Bucket [76-77): 48
Bucket [77-78): 39
Bucket [78-79): 41
Bucket [79-80): 35
Bucket [80-81): 34
Bucket [81-82): 30
Bucket [82-83): 31
Bucket [83-84): 30
Bucket [84-85): 31
Bucket [85-86): 29
Bucket [86-87): 27
Bucket [87-88): 35
Bucket [88-89): 28
Bucket [89-90): 23
Bucket [90-91): 15
Bucket [91-92): 23
Bucket [92-93): 9
Bucket [93-94): 13
Bucket [94-95): 8
Bucket [95-96): 8
Bucket [96-97): 11
Bucket [97-98): 4
Bucket [98-99): 3
Bucket [99-100): 2

Statistics:
Total: 9999
Expected per bucket: 99
Min count: 2
Max count: 219
Range: 217
