SplitMix64 Distribution Test
============================
Total trials: 10000

Distribution (index: count):
Index 0: 105
Index 1: 105
Index 2: 94
Index 3: 96
Index 4: 92
Index 5: 102
Index 6: 111
Index 7: 104
Index 8: 102
Index 9: 115
Index 10: 95
Index 11: 97
Index 12: 105
Index 13: 100
Index 14: 112
Index 15: 101
Index 16: 96
Index 17: 98
Index 18: 93
Index 19: 121
Index 20: 105
Index 21: 105
Index 22: 102
Index 23: 91
Index 24: 101
Index 25: 101
Index 26: 108
Index 27: 100
Index 28: 101
Index 29: 95
Index 30: 98
Index 31: 99
Index 32: 90
Index 33: 107
Index 34: 113
Index 35: 95
Index 36: 93
Index 37: 106
Index 38: 109
Index 39: 92
Index 40: 94
Index 41: 100
Index 42: 91
Index 43: 97
Index 44: 115
Index 45: 104
Index 46: 101
Index 47: 91
Index 48: 93
Index 49: 93
Index 50: 97
Index 51: 99
Index 52: 100
Index 53: 100
Index 54: 97
Index 55: 97
Index 56: 90
Index 57: 94
Index 58: 98
Index 59: 98
Index 60: 104
Index 61: 90
Index 62: 90
Index 63: 105
Index 64: 95
Index 65: 113
Index 66: 123
Index 67: 103
Index 68: 104
Index 69: 99
Index 70: 107
Index 71: 89
Index 72: 83
Index 73: 106
Index 74: 86
Index 75: 86
Index 76: 100
Index 77: 95
Index 78: 103
Index 79: 96
Index 80: 106
Index 81: 92
Index 82: 108
Index 83: 97
Index 84: 97
Index 85: 102
Index 86: 113
Index 87: 98
Index 88: 101
Index 89: 94
Index 90: 97
Index 91: 102
Index 92: 117
Index 93: 100
Index 94: 97
Index 95: 102
Index 96: 89
Index 97: 103
Index 98: 88
Index 99: 116

Statistics:
Total: 10000
Expected per bucket: 100
Min count: 83
Max count: 123
Range: 40
